assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,interestPaidThroughDate,currentDelinquencyStatus,primaryLoanServicerName,subvented.1,reportingPeriodModificationIndicator,modificationTypeCode,paymentExtendedNumber,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,servicerAdvancedAmount,zeroBalanceCode,assetSubjectDemandIndicator,repurchaseAmount,chargedoffPrincipalAmount,recoveredAmount,repossessedIndicator,repossessedProceedsAmount,originalInterestOnlyTermNumber,X..i..,modificationTypeCode.1,zeroBalanceEffectiveDate,originatorName_clean,originalInterestRatePercentage_clean,obligorGeographicLocation_clean,obligorCreditScore_clean,lender_state_n,paymentToIncomePercentage_clean,credit_score_cat,originalLoanTerm_char,loan_term_cat
SPONSOR,998989999995825152,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,09/2019,42600.18,76,02/2026,0.1189,1,1,10/2019,true,1,2,0,TOYOTA,RAV4 HYBRI,1,2019,3,37479,2,CREDIT BUREAU,639,2,2,false,0.1513,AL,false,67,1,40671.73,1623.16,0.1189,0.1189,0,0,386.32,421.31,0,40671.73,807.63,811.58,811.58,0,0,07-06-2020,3,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1189,AL,639,2793,0.1513,Non-Prime,76,73-78 months
SPONSOR,998989999995828608,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,09/2019,13818,61,09/2024,0.1429,1,1,10/2019,true,1,2,0,TOYOTA,AVALON-V6,2,2011,1,9870,98,CREDIT BUREAU,616,2,2,true,0.1085,SC,false,50,1,12342.99,325.52,0.1429,0.1429,0,0,146.66,176.93,0,12215.05,323.6,325.52,197.58,127.94,0,07-23-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1429,SC,616,2196,0.1085,Fair,61,61-66 months
SPONSOR,998989999995811712,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,10/2019,29010.04,73,10/2025,0.059,1,1,11/2019,true,1,2,1,TOYOTA,RAV4,1,2019,3,27891,2,CREDIT BUREAU,626,2,2,false,0.1501,AL,false,63,1,26329.73,480.58,0.059,0.059,0,0,129.15,350.25,0,25972.23,479.41,480.58,123.08,357.5,0,07-15-2020,0,WORLD OMNI FINANCIAL CORP,2,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.059,AL,626,2793,0.1501,Non-Prime,73,73-78 months
SPONSOR,998989999995801216,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,10/2019,47231.52,77,02/2026,0.1014,1,1,12/2019,true,2,2,0,TOYOTA,TUNDRA 4X4,1,2019,2,46513,2,CREDIT BUREAU,640,2,2,false,0.1412,NC,false,67,1,44366.32,856.39,0.1014,0.1014,0,0,371.57,481.23,0,43829.52,852.81,871.39,319.59,536.8,15,07-18-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1014,NC,640,3571,0.1412,Non-Prime,77,73-78 months
SPONSOR,998989999995783552,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,11/2019,47775.26,74,12/2025,0.049,1,1,01/2020,true,2,2,1,TOYOTA,HIGHLANDER,1,2019,3,36749,2,CREDIT BUREAU,575,2,2,false,0.1922,SC,false,65,1,45080.2,768.76,0.049,0.049,0,0,180.92,586.28,0,43932.73,767.2,1537.52,390.05,1147.47,0,07-30-2020,0,WORLD OMNI FINANCIAL CORP,2,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.049,SC,575,2196,0.1922,Deep Sub-Prime,74,73-78 months
SPONSOR,998989999995773696,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,12/2019,8000,61,12/2024,0.0479,1,1,01/2020,true,1,2,0,SMART,FORTWO,2,2016,1,9397,98,CREDIT BUREAU,773,2,2,true,0.0119,NC,false,53,1,7272.23,135,0.0479,0.0479,0,0,29.07,121.12,0,7145.97,150.2,151,24.74,126.26,0,07-10-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0479,NC,773,3571,0.0119,Super-Prime,61,61-66 months
SPONSOR,998989999995770368,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,12/2019,25400.67,73,12/2025,0.1024,1,1,01/2020,true,1,2,0,TOYOTA,CAMRY,1,2019,1,27074,2,CREDIT BUREAU,624,2,2,false,0.1586,AL,false,65,1,24157.15,951.3,0.1024,0.1024,0,0,203.31,270.33,0,23978.88,473.64,475.65,297.38,178.27,0,07-08-2020,3,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1024,AL,624,2793,0.1586,Non-Prime,73,73-78 months
SPONSOR,998989999995760640,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,11/2019,23108.32,76,02/2026,0.1273,1,1,12/2019,true,1,2,0,MAZDA,CX-5,2,2017,3,21600,98,CREDIT BUREAU,522,2,2,true,0.0653,SC,false,67,1,22805.68,901.38,0.1273,0.1273,0,0,229.56,218.74,0,21955.81,448.31,1908.45,983.58,849.87,75,07-22-2020,2,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.1273,SC,522,2196,0.0653,Deep Sub-Prime,76,73-78 months
SPONSOR,998989999995750016,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,01/2020,29002.92,77,07/2026,0.0869,1,1,03/2020,true,2,2,0,TOYOTA,CAMRY,1,2019,1,26968,2,CREDIT BUREAU,696,2,2,true,0.0955,AL,false,72,1,28501.09,0,0.0869,0.0869,0,0,201.46,301.08,0,28249.17,502.54,504.34,252.42,251.92,0,07-24-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0869,AL,696,2793,0.0955,Prime,77,73-78 months
SPONSOR,998989999995758720,07-01-2020,07-31-2020,WORLD OMNI FINANCIAL CORP,01/2020,29584.49,76,04/2026,0.0379,1,1,02/2020,true,1,2,0,TOYOTA,CAMRY,1,2020,1,26476,2,CREDIT BUREAU,781,2,2,true,0.0798,NC,false,69,1,27830.15,368.87,0.0379,0.0379,0,0,87.87,355.76,0,27426.93,443.64,489.68,86.46,403.22,0,07-15-2020,0,WORLD OMNI FINANCIAL CORP,NA,false,NA,NA,NA,NA,NA,NA,false,NA,NA,0,false,0,NA,NA,NA,NA,WORLD OMNI FINANCIAL CORP,0.0379,NC,781,3571,0.0798,Super-Prime,76,73-78 months
